House,Aries,Taurus,Gemini,Cancer,Leo,Virgo,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces
1th House,"Quick-witted, energetic communication, enthusiastic","Practical, logical communication, financially minded","Intellectual, communicative, versatile, witty","Emotional, intuitive, nurturing communication","Confident, expressive communication, leadership qualities","Analytical, practical, detail-oriented communication","Balanced, diplomatic, charming communication","Intense, secretive, transformative communication","Optimistic, philosophical, adventurous communication","Disciplined, responsible, practical communication","Innovative, humanitarian, unconventional communication","Compassionate, artistic, spiritual communication"
2th House,"Bold speech, financially clever, straightforward","Practical speech, financially savvy, stable","Skilled communicator, financially versatile, adaptable","Emotional speech, financially nurturing, intuitive","Generous speech, financially proud, dramatic","Analytical speech, financially practical, logical","Diplomatic speech, financially balanced, charming","Intense speech, financially secretive, powerful","Optimistic speech, financially adventurous, philosophical","Disciplined speech, financially responsible, practical","Innovative speech, financially unconventional, independent","Compassionate speech, financially artistic, dreamy"
3th House,"Energetic in communication, quick-thinking in efforts","Practical in communication, logical in efforts","Intellectual in communication, versatile in efforts","Emotional in communication, nurturing in efforts","Confident in communication, expressive in efforts","Analytical in communication, practical in efforts","Balanced in communication, diplomatic in efforts","Intense in communication, secretive in efforts","Optimistic in communication, adventurous in efforts","Disciplined in communication, practical in efforts","Innovative in communication, unconventional in efforts","Compassionate in communication, artistic in efforts"
4th House,"Energetic home environment, straightforward domestic affairs","Practical home environment, financially stable domestic affairs","Intellectual home environment, communicative domestic affairs","Emotional home environment, intuitive domestic affairs","Confident home environment, dramatic domestic affairs","Analytical home environment, logical domestic affairs","Balanced home environment, charming domestic affairs","Intense home environment, powerful domestic affairs","Optimistic home environment, philosophical domestic affairs","Disciplined home environment, responsible domestic affairs","Innovative home environment, independent domestic affairs","Compassionate home environment, dreamy domestic affairs"
5th House,"Energetic creativity, quick-witted in romance","Practical creativity, logical in romance","Intellectual creativity, versatile in romance","Emotional creativity, nurturing in romance","Confident creativity, expressive in romance","Analytical creativity, practical in romance","Balanced creativity, diplomatic in romance","Intense creativity, secretive in romance","Optimistic creativity, adventurous in romance","Disciplined creativity, practical in romance","Innovative creativity, unconventional in romance","Compassionate creativity, artistic in romance"
6th House,"Energetic work ethic, quick solutions in service","Practical work ethic, logical solutions in service","Intellectual work ethic, versatile solutions in service","Emotional work ethic, nurturing solutions in service","Confident work ethic, dramatic solutions in service","Analytical work ethic, logical solutions in service","Balanced work ethic, charming solutions in service","Intense work ethic, powerful solutions in service","Optimistic work ethic, philosophical solutions in service","Disciplined work ethic, responsible solutions in service","Innovative work ethic, independent solutions in service","Compassionate work ethic, dreamy solutions in service"
7th House,"Energetic partner, straightforward relationships","Practical partner, logical relationships","Intellectual partner, communicative relationships","Emotional partner, intuitive relationships","Confident partner, expressive relationships","Analytical partner, practical relationships","Balanced partner, diplomatic relationships","Intense partner, secretive relationships","Optimistic partner, adventurous relationships","Disciplined partner, practical relationships","Innovative partner, unconventional relationships","Compassionate partner, artistic relationships"
8th House,"Energetic transformations, quick-thinking in crisis","Practical transformations, logical in crisis","Intellectual transformations, versatile in crisis","Emotional transformations, nurturing in crisis","Confident transformations, dramatic in crisis","Analytical transformations, logical in crisis","Balanced transformations, charming in crisis","Intense transformations, powerful in crisis","Optimistic transformations, philosophical in crisis","Disciplined transformations, responsible in crisis","Innovative transformations, independent in crisis","Compassionate transformations, dreamy in crisis"
9th House,"Energetic beliefs, quick-witted in higher education","Practical beliefs, logical in higher education","Intellectual beliefs, communicative in higher education","Emotional beliefs, intuitive in higher education","Confident beliefs, expressive in higher education","Analytical beliefs, practical in higher education","Balanced beliefs, diplomatic in higher education","Intense beliefs, secretive in higher education","Optimistic beliefs, adventurous in higher education","Disciplined beliefs, practical in higher education","Innovative beliefs, unconventional in higher education","Compassionate beliefs, artistic in higher education"
10th House,"Energetic in career, quick-thinking in profession","Practical in career, financially savvy profession","Intellectual in career, versatile profession","Emotional in career, nurturing profession","Confident in career, leadership profession","Analytical in career, detail-oriented profession","Balanced in career, charming profession","Intense in career, powerful profession","Optimistic in career, philosophical profession","Disciplined in career, responsible profession","Innovative in career, independent profession","Compassionate in career, dreamy profession"
11th House,"Energetic in social networks, quick-witted friendships","Practical in social networks, logical friendships","Intellectual in social networks, communicative friendships","Emotional in social networks, intuitive friendships","Confident in social networks, expressive friendships","Analytical in social networks, logical friendships","Balanced in social networks, diplomatic friendships","Intense in social networks, secretive friendships","Optimistic in social networks, adventurous friendships","Disciplined in social networks, practical friendships","Innovative in social networks, unconventional friendships","Compassionate in social networks, artistic friendships"
12th House,"Energetic in spirituality, quick-thinking in isolation","Practical in spirituality, logical in isolation","Intellectual in spirituality, versatile in isolation","Emotional in spirituality, nurturing in isolation","Confident in spirituality, dramatic in isolation","Analytical in spirituality, practical in isolation","Balanced in spirituality, charming in isolation","Intense in spirituality, powerful in isolation","Optimistic in spirituality, philosophical in isolation","Disciplined in spirituality, responsible in isolation","Innovative in spirituality, independent in isolation","Compassionate in spirituality, dreamy in isolation"
